@@,itemlabel,item,startdate,enddate
+++,Hama Amadou,Q544141,2011-04-19,2014-11-24
+++,Amadou Salifou,Q19259177,2014-11-24,2016-03-24
+++,Ousseini Tinni,Q27825306,2016-03-25,2021-03-23
