position,title
Q47006398,President
Q30100634,Prime Minister
Q110537714,"Minister of Agriculture"
Q110537710,"Minister of Commerce"
Q110537690,"Minister of Communication"
Q110537758,"Minister of Culture"
Q110537818,"Minister of Employment and Social Protection"
Q110537808,"Minister of the Environment"
Q63331939,Minister of Equipment
Q98879840,Minister of Finance
Q63332164,Minister of Foreign Affairs
Q110537645,"Minister of Higher Education"
Q110537673,"Minister of Humanitarian Action and Disaster Management"
Q110537796,"Minister of Hydraulics"
Q110537598,"Minister of the Interior"
Q108551873,Minister of Justice
Q110537681,"Minister of Livestock"
Q110537652,"Minister of Mines"
Q110537625,"Minister of National Defence"
Q110537790,"Minister of National Education"
Q110537746,"Minister of Petroleum, Energy, and Renewable Energies"
Q110537733,"Minister of Planning"
Q110537663,"Minister of Post and New Information Technologies"
Q110537783,"Minister for the Promotion of Women"
Q110537648,"Minister of Public Health"
Q110537621,"Minister of Public Service"
Q110537766,"Minister of Regional Planning"
Q110537727,"Minister of Town Planning, Housing and Sanitation"
Q110537669,"Minister of Transport"
Q110537642,"Minister of Vocational Training"
Q110537821,"Minister of Youth and Sport"

