position,title
Q112246269,ambassador to Canada
Q112246303,ambassador to Cape Verde
Q112307291,ambassador to Chad
Q112246207,ambassador to France
Q112246121,ambassador to Germany
Q112246298,ambassador to Guinea-Bissau
Q112246169,ambassador to Hungary
Q112246290,ambassador to Mauritania
Q100138043,ambassador to Morocco
Q112246111,ambassador to Romania
Q112246101,ambassador to the Russian Federation
Q112246193,ambassador to Senegal
Q112246306,ambassador to the Gambia
Q112246256,ambassador to the United States of America
