position,person,personID,start,end
Member of the National Assembly,Moumouni Adamou Djermakoye,Q2755794,1993,2009-06-14
Member of the National Assembly,Mohamed Bazoum,Q3318398,1993,
Member of the National Assembly,André Salifou,Q4760057,1993,2022-05-14
Member of the National Assembly,Mahamadou Issoufou,Q57482,1993,2009
Member of the National Assembly,Hassoumi Massoudou,Q5680106,1999,2004
Member of the National Assembly,Brigi Rafini,Q57877,2004,
Member of the National Assembly,Kalla Ankourao,Q6353461,2004-12,
Member of the National Assembly,Aïchatou Maïnassara,Q89716691,2016,2020
